epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.4655,2.01522,5.62917,4.21082,0,0,0,0,2.70276,5.80274,4.35695,5.91694e-05,5.91694e-05,5.91694e-05
2,70.9499,1.25317,4.76349,2.95442,0.20605,0.27003,0.05978,0.04266,1.04451,4.77173,2.54553,0.000112954,0.000112954,0.000112954
3,104.911,0.57664,3.15973,1.59965,0.15176,0.46999,0.13541,0.12249,0.52525,2.76939,1.31028,0.000160831,0.000160831,0.000160831
4,138.769,0.34065,2.60544,1.06803,0.10089,0.50072,0.15208,0.14226,0.39638,2.53406,1.04647,0.000152418,0.000152418,0.000152418
5,172.498,0.26136,2.45033,0.96289,0.0939,0.61913,0.16627,0.15877,0.34634,2.38311,1.00062,0.000143558,0.000143558,0.000143558
6,206.393,0.21261,2.35064,0.91111,0.08822,0.73194,0.1728,0.1684,0.27931,2.27868,0.92949,0.000134697,0.000134697,0.000134697
7,240.355,0.18657,2.28233,0.88267,0.09824,0.60393,0.20109,0.19718,0.25033,2.23779,0.89303,0.000125837,0.000125837,0.000125837
8,274.16,0.16796,2.21318,0.86198,0.12128,0.54262,0.21105,0.20609,0.24927,2.21529,0.89078,0.000116976,0.000116976,0.000116976
9,307.822,0.16166,2.15869,0.85148,0.15496,0.45065,0.23012,0.22533,0.2394,2.193,0.87353,0.000108116,0.000108116,0.000108116
10,341.785,0.14513,2.11642,0.8423,0.14415,0.496,0.24508,0.24081,0.23796,2.16945,0.87097,9.92555e-05,9.92555e-05,9.92555e-05
11,410.515,0.14155,2.0678,0.83626,0.18451,0.41483,0.26237,0.25759,0.23142,2.14092,0.86379,9.0395e-05,9.0395e-05,9.0395e-05
12,443.73,0.13956,2.01767,0.83294,0.19827,0.40897,0.27577,0.27094,0.23813,2.10142,0.86415,8.15345e-05,8.15345e-05,8.15345e-05
13,476.516,0.13558,1.94973,0.83006,0.23554,0.36898,0.28782,0.28306,0.22197,2.08982,0.85541,7.2674e-05,7.2674e-05,7.2674e-05
14,509.354,0.13078,1.89225,0.8263,0.19727,0.41063,0.29993,0.29531,0.21328,2.09853,0.85023,6.38135e-05,6.38135e-05,6.38135e-05
15,542.025,0.13008,1.83988,0.82556,0.23153,0.38428,0.30964,0.30436,0.22633,2.04639,0.85526,5.4953e-05,5.4953e-05,5.4953e-05
16,575.46,0.12237,1.75885,0.82105,0.21891,0.44408,0.31061,0.3055,0.2242,2.07596,0.8528,4.60925e-05,4.60925e-05,4.60925e-05
17,609.365,0.1268,1.71892,0.82361,0.2246,0.40382,0.30556,0.30092,0.22443,2.09299,0.8508,3.7232e-05,3.7232e-05,3.7232e-05
18,643.39,0.12172,1.65108,0.82023,0.22082,0.39727,0.30815,0.30344,0.21857,2.05482,0.84871,2.83715e-05,2.83715e-05,2.83715e-05
19,677.409,0.11951,1.60524,0.81871,0.24071,0.37663,0.30833,0.30322,0.22749,2.07879,0.85309,1.9511e-05,1.9511e-05,1.9511e-05
20,711.569,0.11896,1.56565,0.81727,0.24206,0.38233,0.30212,0.29686,0.2252,2.08272,0.85142,1.06505e-05,1.06505e-05,1.06505e-05
