epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.6517,1.84574,5.55127,4.19751,0,0,0,0,2.65258,5.80589,4.33448,5.91694e-05,5.91694e-05,5.91694e-05
2,68.6257,0.75598,4.09805,2.38378,0.10124,0.35535,0.0857,0.07785,0.52867,4.12145,1.68575,0.000112954,0.000112954,0.000112954
3,101.782,0.31095,2.82769,1.19777,0.21119,0.48795,0.2296,0.22571,0.28217,2.58957,1.05903,0.000160831,0.000160831,0.000160831
4,135.356,0.21743,2.37086,0.97586,0.29534,0.46463,0.41344,0.40974,0.24197,2.21421,0.94079,0.000152418,0.000152418,0.000152418
5,169.461,0.18315,2.06521,0.90899,0.51197,0.47999,0.54757,0.545,0.20273,2.07033,0.90256,0.000143558,0.000143558,0.000143558
6,202.975,0.16606,1.72639,0.87656,0.66413,0.53809,0.69417,0.69218,0.18502,1.74926,0.87688,0.000134697,0.000134697,0.000134697
7,236.532,0.15435,1.46965,0.86247,0.68947,0.71048,0.78898,0.78738,0.17615,1.43743,0.86404,0.000125837,0.000125837,0.000125837
8,270.016,0.14453,1.20926,0.84753,0.80024,0.7199,0.84128,0.84017,0.16786,1.22217,0.84878,0.000116976,0.000116976,0.000116976
9,303.647,0.1372,1.01452,0.84235,0.89884,0.75388,0.90114,0.90019,0.16503,1.01836,0.84091,0.000108116,0.000108116,0.000108116
10,337.163,0.12631,0.8724,0.83473,0.84932,0.81432,0.92395,0.9236,0.14633,0.93247,0.836,9.92555e-05,9.92555e-05,9.92555e-05
11,406.164,0.1231,0.78973,0.83152,0.87787,0.84297,0.93904,0.93863,0.13578,0.84998,0.82997,9.0395e-05,9.0395e-05,9.0395e-05
12,439.535,0.11357,0.67802,0.82481,0.92444,0.89989,0.97126,0.97071,0.12786,0.70886,0.82248,8.15345e-05,8.15345e-05,8.15345e-05
13,473.249,0.10456,0.59027,0.81995,0.89653,0.90072,0.9671,0.96683,0.12267,0.71351,0.8249,7.2674e-05,7.2674e-05,7.2674e-05
14,506.664,0.10376,0.53969,0.8164,0.93122,0.92378,0.97862,0.97826,0.12448,0.63977,0.82196,6.38135e-05,6.38135e-05,6.38135e-05
15,540.236,0.09997,0.5092,0.81282,0.95195,0.94061,0.98182,0.98139,0.11635,0.59961,0.81792,5.4953e-05,5.4953e-05,5.4953e-05
16,573.834,0.09156,0.47844,0.80995,0.93848,0.93459,0.98125,0.98125,0.10971,0.58717,0.81262,4.60925e-05,4.60925e-05,4.60925e-05
17,607.616,0.0915,0.4682,0.80887,0.9707,0.94923,0.9868,0.98659,0.11322,0.5318,0.81199,3.7232e-05,3.7232e-05,3.7232e-05
18,641.218,0.08477,0.43457,0.8067,0.94954,0.94967,0.98642,0.98631,0.10332,0.53955,0.81085,2.83715e-05,2.83715e-05,2.83715e-05
19,674.757,0.08372,0.4459,0.80692,0.95828,0.95169,0.98688,0.98648,0.10521,0.52629,0.81014,1.9511e-05,1.9511e-05,1.9511e-05
20,708.412,0.0809,0.4193,0.80518,0.96502,0.95085,0.98694,0.98683,0.10232,0.5223,0.81038,1.06505e-05,1.06505e-05,1.06505e-05
