epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.0851,1.94048,5.59235,4.07593,0.00872,0.16517,0.01695,0.00748,1.48694,5.24214,3.3239,5.9417e-05,5.9417e-05,5.9417e-05
2,83.7813,1.10558,4.48664,2.61188,0.03587,0.62061,0.07207,0.0588,0.82433,4.09802,2.15526,0.000113189,0.000113189,0.000113189
3,123.986,0.48074,3.00579,1.34995,0.11391,0.66577,0.1344,0.12374,0.44992,2.7223,1.19209,0.000161054,0.000161054,0.000161054
4,163.186,0.29205,2.54412,1.01491,0.09852,0.64597,0.16652,0.16065,0.32342,2.42299,1.01071,0.000152418,0.000152418,0.000152418
5,202.932,0.23404,2.38764,0.92962,0.10072,0.55782,0.18223,0.17791,0.28138,2.35611,0.96012,0.000143558,0.000143558,0.000143558
6,242.958,0.19147,2.28569,0.88772,0.11711,0.52254,0.20442,0.1999,0.27081,2.25169,0.92554,0.000134697,0.000134697,0.000134697
7,281.755,0.17615,2.21989,0.87144,0.13323,0.54576,0.22038,0.21585,0.25196,2.25388,0.9093,0.000125837,0.000125837,0.000125837
8,320.427,0.16041,2.15509,0.85631,0.1704,0.41821,0.2487,0.24436,0.23332,2.15685,0.89143,0.000116976,0.000116976,0.000116976
9,359.383,0.15468,2.10896,0.84873,0.20193,0.39619,0.26644,0.26227,0.22838,2.13828,0.88445,0.000108116,0.000108116,0.000108116
10,398.494,0.14328,2.04034,0.83964,0.21041,0.40457,0.29348,0.28907,0.22588,2.09322,0.87901,9.92555e-05,9.92555e-05,9.92555e-05
11,469.624,0.14192,1.99636,0.83767,0.22617,0.41966,0.3073,0.30344,0.21532,2.08714,0.87056,9.0395e-05,9.0395e-05,9.0395e-05
12,509.653,0.13688,1.93757,0.83329,0.27767,0.34162,0.33283,0.32932,0.20756,2.04263,0.87006,8.15345e-05,8.15345e-05,8.15345e-05
13,549.632,0.12999,1.85272,0.82777,0.25224,0.39421,0.35262,0.34899,0.20686,2.01806,0.86201,7.2674e-05,7.2674e-05,7.2674e-05
14,589.705,0.12964,1.80009,0.82718,0.24673,0.40586,0.34464,0.34107,0.20612,2.04774,0.86402,6.38135e-05,6.38135e-05,6.38135e-05
15,629.206,0.1281,1.73552,0.82501,0.26218,0.42201,0.35733,0.35283,0.20493,2.00509,0.86031,5.4953e-05,5.4953e-05,5.4953e-05
16,669.152,0.122,1.64894,0.82186,0.28447,0.40878,0.37028,0.36627,0.2068,2.01709,0.86392,4.60925e-05,4.60925e-05,4.60925e-05
17,709.27,0.12399,1.60558,0.82288,0.29538,0.40314,0.37283,0.36895,0.2068,1.9976,0.8604,3.7232e-05,3.7232e-05,3.7232e-05
18,748.413,0.12035,1.54275,0.82073,0.29774,0.39837,0.37131,0.36811,0.20793,2.00467,0.86227,2.83715e-05,2.83715e-05,2.83715e-05
19,789.149,0.11914,1.49458,0.82017,0.30477,0.37722,0.36753,0.36412,0.20748,2.04107,0.86095,1.9511e-05,1.9511e-05,1.9511e-05
20,829.324,0.11686,1.45763,0.8184,0.30376,0.38439,0.36905,0.36528,0.20931,2.03803,0.86282,1.06505e-05,1.06505e-05,1.06505e-05
