epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.5549,3.35282,5.6868,4.30432,0,0,0,0,2.58497,5.79992,4.20985,5.91694e-05,5.91694e-05,5.91694e-05
2,80.9843,2.68021,5.17034,3.67367,0.01399,0.40378,0.0226,0.00724,1.97734,4.82235,3.46849,0.000112954,0.000112954,0.000112954
3,114.992,1.87582,4.05473,2.82431,0.13205,0.26873,0.11048,0.07594,1.10012,3.21686,2.57404,0.000160831,0.000160831,0.000160831
4,148.984,1.38549,3.05967,2.13811,0.07697,0.65192,0.1265,0.10596,0.7089,2.62099,1.75462,0.000152418,0.000152418,0.000152418
5,182.749,1.09224,2.72572,1.76962,0.08024,0.64006,0.13079,0.1194,0.49314,2.48118,1.4349,0.000143558,0.000143558,0.000143558
6,216.595,0.9005,2.60423,1.56881,0.0969,0.84677,0.12571,0.11816,0.4264,2.44912,1.30169,0.000134697,0.000134697,0.000134697
7,250.453,0.78668,2.5811,1.43178,0.07925,0.92506,0.12618,0.11749,0.41687,2.40752,1.18758,0.000125837,0.000125837,0.000125837
8,284.403,0.70458,2.4645,1.36872,0.07806,0.87906,0.13246,0.12746,0.34199,2.35023,1.13323,0.000116976,0.000116976,0.000116976
9,318.557,0.65332,2.43347,1.31255,0.07565,0.94872,0.13307,0.12862,0.32235,2.35221,1.07937,0.000108116,0.000108116,0.000108116
10,352.446,0.61567,2.38812,1.26436,0.07757,0.9195,0.12708,0.122,0.33227,2.31894,1.05523,9.92555e-05,9.92555e-05,9.92555e-05
11,425.458,0.4821,2.48779,1.17468,0.0776,0.93826,0.13702,0.13115,0.32858,2.29241,1.00833,9.0395e-05,9.0395e-05,9.0395e-05
12,459.182,0.41796,2.39076,1.10156,0.0781,0.88624,0.13017,0.12755,0.28552,2.26818,0.97746,8.15345e-05,8.15345e-05,8.15345e-05
13,492.895,0.371,2.35131,1.057,0.07748,0.99351,0.135,0.13384,0.23135,2.25664,0.95213,7.2674e-05,7.2674e-05,7.2674e-05
14,527.157,0.35324,2.32815,1.03694,0.07678,0.98126,0.13058,0.12906,0.2374,2.24383,0.93879,6.38135e-05,6.38135e-05,6.38135e-05
15,561.17,0.34354,2.32336,1.02968,0.07756,0.99448,0.13317,0.13216,0.23469,2.20158,0.92304,5.4953e-05,5.4953e-05,5.4953e-05
16,594.829,0.31649,2.29438,1.00145,0.07852,0.9557,0.13183,0.1314,0.20804,2.20832,0.91051,4.60925e-05,4.60925e-05,4.60925e-05
17,628.63,0.31781,2.29472,0.99685,0.07756,0.99106,0.13967,0.13915,0.19742,2.18526,0.89607,3.7232e-05,3.7232e-05,3.7232e-05
18,662.317,0.3023,2.27168,0.98065,0.07725,0.98428,0.13738,0.13675,0.19563,2.1757,0.89575,2.83715e-05,2.83715e-05,2.83715e-05
19,695.914,0.29457,2.27801,0.98054,0.07741,0.99754,0.13216,0.13161,0.19378,2.16829,0.8911,1.9511e-05,1.9511e-05,1.9511e-05
20,729.497,0.30065,2.26589,0.97407,0.07735,0.99353,0.1335,0.13308,0.18498,2.1632,0.88598,1.06505e-05,1.06505e-05,1.06505e-05
